FISCAL_DAY,UA_SPEND,CPI,PAID_INSTALL_TO_REG,ORGANIC_TO_PAID_REG,REG_TO_PU
2024-01-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-02,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-03,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-04,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-05,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-06,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-07,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-08,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-09,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-10,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-11,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-12,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-13,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-14,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-01-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-01,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-02,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-03,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-04,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-05,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-06,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-07,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-08,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-09,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-10,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-11,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-12,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-13,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-14,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-15,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-16,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-17,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-18,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-19,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-20,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-21,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-22,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-23,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-24,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-25,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-26,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-27,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-28,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-02-29,113393.857142857,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-02,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-03,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-04,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-05,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-06,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-07,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-08,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-09,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-10,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-11,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-12,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-13,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-14,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-03-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-01,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-02,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-03,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-04,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-05,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-06,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-07,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-08,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-09,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-10,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-11,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-12,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-13,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-14,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-15,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-16,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-17,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-18,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-19,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-20,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-21,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-22,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-23,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-24,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-25,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-26,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-27,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-28,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-29,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-04-30,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-01,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-02,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-03,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-04,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-05,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-06,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-07,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-08,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-09,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-10,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-11,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-12,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-13,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-14,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-15,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-16,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-17,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-18,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-19,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-20,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-21,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-22,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-23,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-24,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-25,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-26,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-27,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-28,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-29,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-30,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-05-31,105834.333333333,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-01,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-02,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-03,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-04,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-05,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-06,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-07,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-08,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-09,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-10,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-11,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-12,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-13,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-14,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-15,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-16,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-17,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-18,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-19,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-20,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-21,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-22,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-23,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-24,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-25,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-26,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-27,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-28,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-29,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
2024-06-30,109483.75862069,2.386866126,0.4474135756,1.119053417,0.1636784679
